rank,school,score
"

#1Tie


Overall Score: 






","
Princeton University 

Princeton, NJ
","

                

                

                

                
                  
                  
                    4.7
                      
                  
                  




"
"

#1Tie


Overall Score: 






","
University of California—​Berkeley 

Berkeley, CA
","

                

                

                

                
                  
                  
                    4.7
                      
                  
                  




"
"

#1Tie


Overall Score: 






","
University of Wisconsin—​Madison 

Madison, WI
","

                

                

                

                
                  
                  
                    4.7
                      
                  
                  




"
"

dblclick('rankingsEmbed')
",,
"

#4Tie


Overall Score: 






","
Stanford University 

Stanford, CA
","

                

                

                

                
                  
                  
                    4.6
                      
                  
                  




"
"

#4Tie


Overall Score: 






","
University of Michigan—​Ann Arbor 

Ann Arbor, MI
","

                

                

                

                
                  
                  
                    4.6
                      
                  
                  




"
"

#6Tie


Overall Score: 






","
Harvard University 

Cambridge, MA
","

                

                

                

                
                  
                  
                    4.5
                      
                  
                  




"
"

#6Tie


Overall Score: 






","
University of Chicago 

Chicago, IL
","

                

                

                

                
                  
                  
                    4.5
                      
                  
                  




"
"

#6Tie


Overall Score: 






","
University of North Carolina—​Chapel Hill 

Chapel Hill, NC
","

                

                

                

                
                  
                  
                    4.5
                      
                  
                  




"
"

#9


Overall Score: 






","
University of California—​Los Angeles 

Los Angeles, CA
","

                

                

                

                
                  
                  
                    4.4
                      
                  
                  




"
"

#10Tie


Overall Score: 






","
Northwestern University 

Evanston, IL
","

                

                

                

                
                  
                  
                    4.3
                      
                  
                  




"
"

#10Tie


Overall Score: 






","
University of Pennsylvania 

Philadelphia, PA
","

                

                

                

                
                  
                  
                    4.3
                      
                  
                  




"
"

#12Tie


Overall Score: 






","
Columbia University 

New York, NY
","

                

                

                

                
                  
                  
                    4.2
                      
                  
                  




"
"

#12Tie


Overall Score: 






","
Indiana University—​Bloomington 

Bloomington, IN
","

                

                

                

                
                  
                  
                    4.2
                      
                  
                  




"
"

#14Tie


Overall Score: 






","
Duke University 

Durham, NC
","

                

                

                

                
                  
                  
                    4.1
                      
                  
                  




"
"

#14Tie


Overall Score: 






","
University of Texas—​Austin 

Austin, TX
","

                

                

                

                
                  
                  
                    4.1
                      
                  
                  




"
"

#16


Overall Score: 






","
New York University 

New York, NY
","

                

                

                

                
                  
                  
                    4.0
                      
                  
                  




"
"

#17Tie


Overall Score: 






","
Cornell University 

Ithaca, NY
","

                

                

                

                
                  
                  
                    3.9
                      
                  
                  




"
"

#17Tie


Overall Score: 






","
Ohio State University 

Columbus, OH
","

                

                

                

                
                  
                  
                    3.9
                      
                  
                  




"
"

#17Tie


Overall Score: 






","
Pennsylvania State University—​University Park 

University Park, PA
","

                

                

                

                
                  
                  
                    3.9
                      
                  
                  




"
"

#20Tie


Overall Score: 






","
University of Arizona 

Tucson, AZ
","

                

                

                

                
                  
                  
                    3.8
                      
                  
                  




"
"

#20Tie


Overall Score: 






","
University of Minnesota—​Twin Cities 

Minneapolis, MN
","

                

                

                

                
                  
                  
                    3.8
                      
                  
                  




"
"

#20Tie


Overall Score: 






","
University of Washington 

Seattle, WA
","

                

                

                

                
                  
                  
                    3.8
                      
                  
                  




"
"

#20Tie


Overall Score: 






","
Yale University 

New Haven, CT
","

                

                

                

                
                  
                  
                    3.8
                      
                  
                  




"
"

#24


Overall Score: 






","
University of Maryland—​College Park 

College Park, MD
","

                

                

                

                
                  
                  
                    3.7
                      
                  
                  




"
"

#25Tie


Overall Score: 






","
Brown University 

Providence, RI
","

                

                

                

                
                  
                  
                    3.6
                      
                  
                  




"
"

#25Tie


Overall Score: 






","
University of California—​Irvine 

Irvine, CA
","

                

                

                

                
                  
                  
                    3.6
                      
                  
                  




"
"

#27


Overall Score: 






","
Johns Hopkins University 

Baltimore, MD
","

                

                

                

                
                  
                  
                    3.5
                      
                  
                  




"
